big onnx,small onnx,vnnlib,duration (big only),duration (small and big),Rows.DURATION_SMALL_ONLY,classification (big only),classification (small and big),number of splits (big only),number of splits (small and big),falsification by counterexample
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_42_41_options.json_Options__0.9847000241279602_f1Score__18_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_0_0.03.vnnlib,0.0996331000351347,0.2108711000182666,0.099663499975577,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_42_41_options.json_Options__0.9847000241279602_f1Score__18_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_1_0.03.vnnlib,120.04857059998903,120.02837239997461,120.02837239997461,timeout,timeout,5,71,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_42_41_options.json_Options__0.9847000241279602_f1Score__18_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_2_0.03.vnnlib,5.7539536000113,120.08892410004046,120.08892410004046,unsafe,timeout,1,179,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_42_41_options.json_Options__0.9847000241279602_f1Score__18_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_3_0.03.vnnlib,0.11290880001615733,0.3034009999828413,0.129589699965436,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_42_41_options.json_Options__0.9847000241279602_f1Score__18_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_4_0.03.vnnlib,0.14226550003513694,0.23080339998705313,0.10341899999184534,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_42_41_options.json_Options__0.9847000241279602_f1Score__18_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_5_0.03.vnnlib,0.13145950000034645,0.2553244999726303,0.11566780001157895,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_42_41_options.json_Options__0.9847000241279602_f1Score__18_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_6_0.03.vnnlib,120.21355370001402,120.00525049999123,120.00525049999123,timeout,timeout,1,48,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_42_41_options.json_Options__0.9847000241279602_f1Score__18_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_7_0.03.vnnlib,0.11029059998691082,0.2519185999990441,0.11151190003147349,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_42_41_options.json_Options__0.9847000241279602_f1Score__18_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_8_0.03.vnnlib,0.11190739995799959,0.23984479997307062,0.11886729998514056,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_42_41_options.json_Options__0.9847000241279602_f1Score__18_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_9_0.03.vnnlib,120.02190200000769,120.01473409996834,120.01473409996834,timeout,timeout,14,75,0
