big onnx,small onnx,vnnlib,duration (big only),duration (small and big),Rows.DURATION_SMALL_ONLY,classification (big only),classification (small and big),number of splits (big only),number of splits (small and big),falsification by counterexample
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_0_0.03.vnnlib,0.09284529997967184,0.20790779998060316,0.09008839994203299,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_1_0.03.vnnlib,300.02388290001545,300.02132099994924,300.02132099994924,timeout,timeout,52,403,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_2_0.03.vnnlib,2.473270299960859,4.071985500049777,1.6953663000604138,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_3_0.03.vnnlib,0.09186129993759096,0.19366059999447316,0.08914449997246265,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_4_0.03.vnnlib,2.2156112999655306,2.3057783000404015,0.09338680002838373,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_5_0.03.vnnlib,0.09445999993477017,0.19523060007486492,0.09011550003197044,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_6_0.03.vnnlib,300.0729079999728,300.0092626999831,300.0092626999831,timeout,timeout,1,8,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_7_0.03.vnnlib,0.9274924999335781,1.006339899962768,0.08354359993245453,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_8_0.03.vnnlib,300.0238430999452,301.5789776999736,1.4230078000109643,timeout,timeout,67,66,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_9_0.03.vnnlib,1.797880999976769,1.9237954000709578,0.08029080007690936,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_10_0.03.vnnlib,0.1057509999955073,0.19868739997036755,0.08128889999352396,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_11_0.03.vnnlib,0.1070546000264585,0.22003239998593926,0.09603100002277642,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_12_0.03.vnnlib,0.8843402999918908,300.012783599901,300.012783599901,safe,timeout,1,174,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_13_0.03.vnnlib,0.16147160006221384,0.22675249993335456,0.08664240001235157,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_14_0.03.vnnlib,0.11205250001512468,0.21561349998228252,0.09653300000354648,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_0_0.05.vnnlib,300.0572588000214,300.02405859995633,300.02405859995633,timeout,timeout,8,17,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_1_0.05.vnnlib,300.3216707999818,300.0241276000161,300.0241276000161,timeout,timeout,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_2_0.05.vnnlib,300.04363430000376,300.0272101999726,300.0272101999726,timeout,timeout,1,11,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_3_0.05.vnnlib,79.6181523000123,77.50347809994128,1.8096516999648884,safe,safe,15,15,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_4_0.05.vnnlib,300.1717245000182,300.0336512000067,300.0336512000067,timeout,timeout,1,21,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_5_0.05.vnnlib,300.0023981999839,300.0245787000749,300.0245787000749,timeout,timeout,9,14,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_05_10_42_47_options.json_Options__0.9828000068664551_f1Score__11_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_6_0.05.vnnlib,300.1588586999569,300.0257021000143,300.0257021000143,timeout,timeout,1,1,0
