big onnx,small onnx,vnnlib,duration (big only),duration (small and big),Rows.DURATION_SMALL_ONLY,classification (big only),classification (small and big),number of splits (big only),number of splits (small and big),falsification by counterexample
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_12_47_21_options.json_Options__0.9722999930381775_f1Score__12_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_0_0.03.vnnlib,0.10140770010184497,25.58536089991685,11.304074499988928,safe,safe,1,92,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_12_47_21_options.json_Options__0.9722999930381775_f1Score__12_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_1_0.03.vnnlib,43.45143380004447,249.12922180001624,77.97673440002836,unsafe,timeout,38,556,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_12_47_21_options.json_Options__0.9722999930381775_f1Score__12_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_2_0.03.vnnlib,0.8935620000120252,72.93298819998745,47.365486399969086,unsafe,unsafe,1,284,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_12_47_21_options.json_Options__0.9722999930381775_f1Score__12_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_3_0.03.vnnlib,0.09032230009324849,0.19467050000093877,0.0911492999875918,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_12_47_21_options.json_Options__0.9722999930381775_f1Score__12_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_4_0.03.vnnlib,0.11142630001995713,46.22472129995003,19.400580500019714,safe,safe,1,139,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_12_47_21_options.json_Options__0.9722999930381775_f1Score__12_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_5_0.03.vnnlib,0.09052939992398024,1.2982442999491468,0.424999300041236,safe,safe,1,6,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_12_47_21_options.json_Options__0.9722999930381775_f1Score__12_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_6_0.03.vnnlib,120.0013260000851,243.30228189995978,25.91988569998648,timeout,timeout,67,168,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_12_47_21_options.json_Options__0.9722999930381775_f1Score__12_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_7_0.03.vnnlib,0.11482569994404912,2.9776812000200152,1.3214467000216246,safe,safe,1,12,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_12_47_21_options.json_Options__0.9722999930381775_f1Score__12_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_8_0.03.vnnlib,1.296956800040789,1.4417934000957757,0.10813820001203567,safe,safe,3,3,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_12_47_21_options.json_Options__0.9722999930381775_f1Score__12_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_9_0.03.vnnlib,0.0873894999967888,5.535882099997252,3.373328100075014,safe,safe,1,16,0
