big onnx,small onnx,vnnlib,duration (big only),duration (small and big),Rows.DURATION_SMALL_ONLY,classification (big only),classification (small and big),number of splits (big only),number of splits (small and big),falsification by counterexample
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_14_13_43_options.json_Options__0.9835000038146973_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_0_0.03.vnnlib,0.12788169994018972,300.02400220022537,300.02400220022537,safe,timeout,1,454,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_14_13_43_options.json_Options__0.9835000038146973_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_1_0.03.vnnlib,300.0239891000092,300.10580780007876,300.10580780007876,timeout,timeout,16,618,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_14_13_43_options.json_Options__0.9835000038146973_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_2_0.03.vnnlib,4.111958099994808,300.0317925000563,300.0317925000563,safe,timeout,1,663,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_14_13_43_options.json_Options__0.9835000038146973_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_3_0.03.vnnlib,0.20847770012915134,0.41632850002497435,0.22374950000084937,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_14_13_43_options.json_Options__0.9835000038146973_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_4_0.03.vnnlib,3.615553400013596,300.008332000114,300.008332000114,safe,timeout,1,216,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_14_13_43_options.json_Options__0.9835000038146973_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_5_0.03.vnnlib,0.14934420003555715,300.03238280001096,300.03238280001096,safe,timeout,1,179,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_14_13_43_options.json_Options__0.9835000038146973_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_6_0.03.vnnlib,300.09557689982466,300.0944185999688,300.0944185999688,timeout,timeout,1,62,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_14_13_43_options.json_Options__0.9835000038146973_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_7_0.03.vnnlib,1.4482166999951005,300.0531488999259,300.0531488999259,safe,timeout,1,314,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_14_13_43_options.json_Options__0.9835000038146973_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_8_0.03.vnnlib,300.09533579996787,300.0192599000875,300.0192599000875,timeout,timeout,23,244,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_14_13_43_options.json_Options__0.9835000038146973_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_9_0.03.vnnlib,4.542192799970508,52.3508448000066,12.849626200040802,safe,safe,1,8,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_14_13_43_options.json_Options__0.9835000038146973_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_10_0.03.vnnlib,0.17590770008973777,300.0568415999878,300.0568415999878,safe,timeout,1,246,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x4.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_04_14_13_43_options.json_Options__0.9835000038146973_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_11_0.03.vnnlib,0.17721939994953573,0.41144139994867146,0.2466768000740558,safe,safe,1,1,0
