big onnx,small onnx,vnnlib,duration (big only),duration (small and big),Rows.DURATION_SMALL_ONLY,classification (big only),classification (small and big),number of splits (big only),number of splits (small and big),falsification by counterexample
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_26_10_49_57_options.json_Options__0.9718000292778015_f1Score__6_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_0_0.03.vnnlib,0.1034934000344947,33.415241899958346,16.638814000005368,safe,safe,1,102,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_26_10_49_57_options.json_Options__0.9718000292778015_f1Score__6_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_1_0.03.vnnlib,48.51786779996473,205.0595230999752,56.98564610001631,unsafe,unsafe,38,445,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_26_10_49_57_options.json_Options__0.9718000292778015_f1Score__6_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_2_0.03.vnnlib,1.0010022000060417,18.305683100013994,10.397069300001021,unsafe,unsafe,1,85,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_26_10_49_57_options.json_Options__0.9718000292778015_f1Score__6_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_3_0.03.vnnlib,0.10578119999263436,0.18043950002174824,0.09474089997820556,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_26_10_49_57_options.json_Options__0.9718000292778015_f1Score__6_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_4_0.03.vnnlib,0.09980799996992573,0.9603889000136405,0.3216130000073463,safe,safe,1,4,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_26_10_49_57_options.json_Options__0.9718000292778015_f1Score__6_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_5_0.03.vnnlib,0.10479939996730536,3.7506399000412785,1.2582929000491276,safe,safe,1,16,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_26_10_49_57_options.json_Options__0.9718000292778015_f1Score__6_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_6_0.03.vnnlib,120.00391339999624,121.8294157999917,1.3172204999718815,timeout,timeout,63,61,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_26_10_49_57_options.json_Options__0.9718000292778015_f1Score__6_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_7_0.03.vnnlib,0.08524680003756657,0.18016220000572503,0.08100000000558794,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_26_10_49_57_options.json_Options__0.9718000292778015_f1Score__6_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_8_0.03.vnnlib,1.1307945000007749,1.234996500017587,0.07287780003389344,safe,safe,3,3,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_26_10_49_57_options.json_Options__0.9718000292778015_f1Score__6_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_9_0.03.vnnlib,0.0951338000013493,0.16679270000895485,0.07767470000544563,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_26_10_49_57_options.json_Options__0.9718000292778015_f1Score__6_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_10_0.03.vnnlib,0.08040780003648251,0.17698200000450015,0.07964750000974163,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/mnist-net_256x2.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_26_10_49_57_options.json_Options__0.9718000292778015_f1Score__6_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_11_0.03.vnnlib,0.08722950000083074,2.0656048000091687,0.818296100012958,safe,safe,1,10,0
