big onnx,small onnx,vnnlib,duration (big only),duration (small and big),Rows.DURATION_SMALL_ONLY,classification (big only),classification (small and big),number of splits (big only),number of splits (small and big),falsification by counterexample
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_36_49_options.json_Options__0.986299991607666_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_0_0.03.vnnlib,0.11460329999681562,0.1951829000026919,0.08860740001546219,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_36_49_options.json_Options__0.986299991607666_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_1_0.03.vnnlib,120.03507590002846,120.08185279997997,120.08185279997997,timeout,timeout,5,68,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_36_49_options.json_Options__0.986299991607666_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_2_0.03.vnnlib,5.363529400026891,120.01176180003677,120.01176180003677,unsafe,timeout,1,57,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_36_49_options.json_Options__0.986299991607666_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_3_0.03.vnnlib,0.11425270000472665,0.23040029994444922,0.10681459994520992,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_36_49_options.json_Options__0.986299991607666_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_4_0.03.vnnlib,0.09107879997463897,0.21018940000794828,0.0892085000523366,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_36_49_options.json_Options__0.986299991607666_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_5_0.03.vnnlib,0.09884990000864491,0.2123017000267282,0.10956150002311915,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_36_49_options.json_Options__0.986299991607666_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_6_0.03.vnnlib,120.03212240000721,120.98026739998022,0.8513105000020005,timeout,timeout,2,2,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_36_49_options.json_Options__0.986299991607666_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_7_0.03.vnnlib,0.1313646999769844,0.22874280001269653,0.10535159998107702,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_36_49_options.json_Options__0.986299991607666_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_8_0.03.vnnlib,0.10271319997264072,0.19930989999556914,0.09247100003995001,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_36_49_options.json_Options__0.986299991607666_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_9_0.03.vnnlib,120.02458329999354,120.0100994000095,120.0100994000095,timeout,timeout,14,74,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_36_49_options.json_Options__0.986299991607666_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_10_0.03.vnnlib,0.11859240004559979,0.21076670003822073,0.09162930003367364,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_36_49_options.json_Options__0.986299991607666_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_11_0.03.vnnlib,0.11295239999890327,0.21604529995238408,0.10008549998747185,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_36_49_options.json_Options__0.986299991607666_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_12_0.03.vnnlib,12.526245200017001,120.01726620004047,120.01726620004047,safe,timeout,3,98,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_20_11_36_49_options.json_Options__0.986299991607666_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_13_0.03.vnnlib,2.5748865000205114,2.7655937999952585,0.10173180000856519,safe,safe,1,1,0
